Text16;Текст3;Text14;Text18;Text17;Текст5;Text23;Text24
Организация;;;Демо;;;;
Группа;;;Грузовые;;;;
Наименование;;;Камаз трололо );;;Минимальная продолжительность стоянки;0:01:00
Регистрационный №;;;д 555 дд;;;;
Позывной;;;Мусоровоз;;;;
№;Период стоянки с;;Период стоянки по;;Продолжи- тельность;Место стоянки;
;Дата;Время;Дата;Время;;;
97;16.08.2013;16:24:24;16.08.2013;16:32:37;0:08:13;"Долгота=38° 58' 44.54"" Широта=45° 14' 14.21""";
98;16.08.2013;16:37:31;16.08.2013;16:38:49;0:01:18;"Долгота=38° 59' 14.01"" Широта=45° 13' 31.07""";
99;16.08.2013;16:40:07;16.08.2013;16:43:18;0:03:11;"Долгота=38° 59' 21.82"" Широта=45° 13' 31.97""";
100;16.08.2013;16:43:38;16.08.2013;16:46:37;0:02:59;"Долгота=38° 59' 26.97"" Широта=45° 13' 32.51""";
101;16.08.2013;16:48:37;16.08.2013;16:50:11;0:01:34;"Долгота=38° 59' 32.52"" Широта=45° 13' 33.33""";
102;16.08.2013;16:50:15;16.08.2013;16:53:03;0:02:48;"Долгота=38° 59' 35.10"" Широта=45° 13' 33.85""";
103;16.08.2013;16:55:09;16.08.2013;16:58:46;0:03:37;"Долгота=38° 59' 45.35"" Широта=45° 13' 35.23""";
104;16.08.2013;17:40:36;16.08.2013;17:42:59;0:02:23;"Долгота=39° 11' 31.14"" Широта=45° 15' 02.18""";
105;16.08.2013;17:44:57;16.08.2013;17:47:14;0:02:17;"Долгота=39° 11' 03.85"" Широта=45° 14' 59.78""";
106;16.08.2013;17:47:58;16.08.2013;17:53:34;0:05:36;"Долгота=39° 10' 55.28"" Широта=45° 14' 57.03""";
107;16.08.2013;17:54:34;16.08.2013;18:13:38;0:19:04;Точка №3 тупичёк за озером.;
108;16.08.2013;18:41:00;16.08.2013;19:10:44;0:29:44;Хоз двор. Место где находится гараж.;
109;16.08.2013;19:15:10;16.08.2013;19:22:02;0:06:52;"Долгота=38° 59' 07.51"" Широта=45° 14' 20.08""";
110;16.08.2013;19:22:48;16.08.2013;19:34:32;0:11:44;"Долгота=38° 59' 05.03"" Широта=45° 14' 25.68""";
111;16.08.2013;19:35:53;16.08.2013;19:40:27;0:04:34;"Долгота=38° 59' 01.79"" Широта=45° 14' 33.70""";
112;16.08.2013;19:40:53;16.08.2013;20:10:43;0:29:50;"Долгота=38° 58' 59.88"" Широта=45° 14' 37.66""";
113;16.08.2013;20:11:38;16.08.2013;20:15:00;0:03:22;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06""";
114;16.08.2013;20:15:04;16.08.2013;20:16:27;0:01:23;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26""";
115;16.08.2013;20:16:30;16.08.2013;20:21:34;0:05:04;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02""";
116;16.08.2013;20:21:48;16.08.2013;20:26:53;0:05:05;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20""";
