Text11;Text20;Text21;Текст10;Text15;TextLocus
129;21:54:34;21:56:01;0:01:27;2,87;"Долгота=39° 11' 31.34"" Широта=45° 15' 02.46"""
130;21:58:14;22:09:09;0:10:55;0,60;"Долгота=39° 11' 03.86"" Широта=45° 14' 59.88"""
131;22:10:37;22:15:44;0:05:07;0,25;"Долгота=39° 10' 53.48"" Широта=45° 14' 56.90"""
132;22:38:32;22:47:21;0:08:49;17,79;"Долгота=39° 00' 44.27"" Широта=45° 14' 16.77"""
133;22:54:10;23:11:39;0:17:29;2,72;"Долгота=39° 00' 30.50"" Широта=45° 15' 13.46"""
134;23:13:03;23:17:23;0:04:20;0,26;"Долгота=39° 00' 25.80"" Широта=45° 15' 05.95"""
135;23:31:56;23:59:59;0:28:04;6,26;"Долгота=38° 59' 00.00"" Широта=45° 14' 37.51"""
1;00:00:00;00:17:31;0:17:31;0,00;"Долгота=38° 59' 00.00"" Широта=45° 14' 37.51"""
2;00:21:23;00:32:57;0:11:34;1,52;Хоз двор. Место где находится гараж.
3;00:40:41;00:46:03;0:05:22;2,82;"Долгота=39° 00' 23.21"" Широта=45° 14' 33.51"""
4;00:46:15;00:48:41;0:02:26;0,13;"Долгота=39° 00' 23.70"" Широта=45° 14' 29.29"""
5;00:49:00;00:50:09;0:01:09;0,15;"Долгота=39° 00' 24.72"" Широта=45° 14' 24.61"""
6;00:50:12;00:53:51;0:03:39;0,07;"Долгота=39° 00' 24.91"" Широта=45° 14' 22.50"""
7;00:54:03;00:56:11;0:02:08;0,10;"Долгота=39° 00' 25.14"" Широта=45° 14' 19.14"""
8;00:57:10;01:01:28;0:04:18;0,22;"Долгота=39° 00' 25.97"" Широта=45° 14' 12.11"""
9;01:01:34;01:02:50;0:01:16;0,07;"Долгота=39° 00' 26.52"" Широта=45° 14' 09.87"""
10;01:04:47;01:06:22;0:01:35;0,26;"Долгота=39° 00' 33.27"" Широта=45° 14' 04.20"""
11;01:07:16;01:22:29;0:15:13;0,20;"Долгота=39° 00' 26.16"" Широта=45° 14' 07.66"""
12;01:22:59;01:31:37;0:08:38;0,08;Точка №1 ул. Набережная.
13;01:35:54;01:43:26;0:07:32;1,24;"Долгота=39° 00' 20.17"" Широта=45° 14' 42.00"""
14;01:46:03;01:48:57;0:02:54;0,37;"Долгота=39° 00' 16.60"" Широта=45° 14' 53.53"""
15;01:49:34;02:01:32;0:11:58;0,12;Точка №2 ул.Привокзальная.
16;02:02:26;02:08:16;0:05:50;0,24;"Долгота=39° 00' 12.63"" Широта=45° 15' 05.07"""
17;02:08:32;02:12:10;0:03:38;0,09;"Долгота=39° 00' 11.60"" Широта=45° 15' 07.94"""
18;02:21:14;02:29:27;0:08:13;3,81;"Долгота=38° 58' 44.54"" Широта=45° 14' 14.21"""
19;02:34:21;02:35:39;0:01:18;1,51;"Долгота=38° 59' 14.01"" Широта=45° 13' 31.07"""
20;02:36:57;02:40:08;0:03:11;0,17;"Долгота=38° 59' 21.82"" Широта=45° 13' 31.97"""
21;02:40:28;02:43:27;0:02:59;0,11;"Долгота=38° 59' 26.97"" Широта=45° 13' 32.51"""
22;02:45:27;02:47:01;0:01:34;0,12;"Долгота=38° 59' 32.52"" Широта=45° 13' 33.33"""
23;02:47:05;02:49:53;0:02:48;0,06;"Долгота=38° 59' 35.10"" Широта=45° 13' 33.85"""
24;02:51:59;02:55:36;0:03:37;0,23;"Долгота=38° 59' 45.35"" Широта=45° 13' 35.23"""
25;03:37:26;03:39:49;0:02:23;34,37;"Долгота=39° 11' 31.14"" Широта=45° 15' 02.18"""
26;03:41:47;03:44:04;0:02:17;0,60;"Долгота=39° 11' 03.85"" Широта=45° 14' 59.78"""
27;03:44:48;03:50:24;0:05:36;0,21;"Долгота=39° 10' 55.28"" Широта=45° 14' 57.03"""
28;03:51:24;03:55:24;0:04:00;0,18;Точка №3 тупичёк за озером.
